Iteration,Value,Seconds
0,0,3.09944152832e-06
1,1,2.14576721191e-06
2,1,2.86102294922e-06
3,2,3.09944152832e-06
4,3,2.86102294922e-06
5,5,4.05311584473e-06
6,8,6.91413879395e-06
7,13,1.00135803223e-05
8,21,1.50203704834e-05
9,34,2.71797180176e-05
10,55,4.31537628174e-05
11,89,7.60555267334e-05
12,144,0.000113010406494
13,233,0.000180006027222
14,377,0.000280141830444
15,610,0.000440835952759
16,987,0.000856876373291
17,1597,0.00112509727478
18,2584,0.00184798240662
19,4181,0.0029308795929
20,6765,0.00478196144104
21,10946,0.0104901790619
22,17711,0.0132009983063
23,28657,0.02055311203
24,46368,0.0335800647736
25,75025,0.0529170036316
26,121393,0.0870580673218
27,196418,0.143035888672
28,317811,0.229326963425
29,514229,0.369125843048
30,832040,0.616885900497
31,1346269,1.01483201981
32,2178309,1.53636097908
33,3524578,2.45581197739
34,5702887,3.97331094742
